开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2022-03-15 12:15,75,未分类,打游戏,未分类,,,,已完成
2022-03-15 13:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 13:45,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-15 14:15,30,未分类,业余爱好,未分类,,,,已完成
2022-03-15 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 15:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-15 15:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 15:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-15 16:45,15,未分类,开会,未分类,,,,已完成
2022-03-15 17:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 17:15,60,未分类,打游戏,未分类,,,,已完成
2022-03-15 18:15,30,未分类,家务事,未分类,,,,已完成
2022-03-15 18:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-15 19:30,15,未分类,家务事,未分类,,,,已完成
2022-03-15 19:45,15,未分类,业余爱好,未分类,,,,已完成
2022-03-15 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 20:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-15 20:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-15 21:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 21:15,75,未分类,打游戏,未分类,,,,已完成
2022-03-15 22:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-15 22:45,75,未分类,打游戏,未分类,,,,已完成
2022-03-16 00:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-16 00:45,15,未分类,业余爱好,未分类,,,,已完成
2022-03-16 01:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 01:30,390,未分类,休息,未分类,,,,已完成
2022-03-16 08:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 08:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 08:45,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-16 09:30,15,未分类,休息,未分类,,,,已完成
2022-03-16 09:45,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-16 10:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-16 10:45,15,未分类,代码,未分类,,,,已完成
2022-03-16 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 11:15,30,未分类,家务事,未分类,,,,已完成
2022-03-16 11:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-16 12:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-16 12:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-16 12:45,45,未分类,碎片时间,未分类,,,,已完成
2022-03-16 13:30,75,未分类,打游戏,未分类,,,,已完成
2022-03-16 14:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-16 15:00,60,未分类,代码,未分类,,,,已完成
2022-03-16 16:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 16:15,60,未分类,摸鱼,未分类,,,,已完成
2022-03-16 17:15,45,未分类,家务事,未分类,,,,已完成
2022-03-16 18:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 18:30,30,未分类,家务事,未分类,,,,已完成
2022-03-16 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-16 19:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-16 19:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-16 20:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-16 20:45,30,未分类,代码,未分类,,,,已完成
2022-03-16 21:15,90,未分类,碎片时间,未分类,,,,已完成
2022-03-16 22:45,165,未分类,摸鱼,未分类,,,,已完成
2022-03-17 01:30,375,未分类,休息,未分类,,,,已完成
2022-03-17 07:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-17 08:30,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-17 09:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-17 09:45,75,未分类,打游戏,未分类,,,,已完成
2022-03-17 11:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-17 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-17 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 12:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-17 12:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 12:30,45,未分类,打游戏,未分类,,,,已完成
2022-03-17 13:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-17 13:45,90,未分类,打游戏,未分类,,,,已完成
2022-03-17 15:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 15:30,15,未分类,代码,未分类,,,,已完成
2022-03-17 15:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-17 16:30,75,未分类,碎片时间,未分类,,,,已完成
2022-03-17 17:45,15,未分类,家务事,未分类,,,,已完成
2022-03-17 18:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-17 18:30,45,未分类,家务事,未分类,,,,已完成
2022-03-17 19:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 19:30,90,未分类,家务事,未分类,,,,已完成
2022-03-17 21:00,15,未分类,业余爱好,未分类,,,,已完成
2022-03-17 21:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-17 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 22:00,15,未分类,代码,未分类,,,,已完成
2022-03-17 22:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-17 22:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-17 23:15,150,未分类,碎片时间,未分类,,,,已完成
2022-03-18 01:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 02:00,405,未分类,休息,未分类,,,,已完成
2022-03-18 08:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-18 09:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 09:45,30,未分类,业余爱好,未分类,,,,已完成
2022-03-18 10:15,30,未分类,代码,未分类,,,,已完成
2022-03-18 10:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 11:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-18 11:30,30,未分类,家务事,未分类,,,,已完成
2022-03-18 12:00,45,未分类,摸鱼,未分类,,,,已完成
2022-03-18 12:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-18 13:15,45,未分类,业余爱好,未分类,,,,已完成
2022-03-18 14:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-18 14:30,135,未分类,打游戏,未分类,,,,已完成
2022-03-18 16:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 17:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-18 17:15,30,未分类,代码,未分类,,,,已完成
2022-03-18 17:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-18 18:15,45,未分类,家务事,未分类,,,,已完成
2022-03-18 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 19:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 19:30,30,未分类,家务事,未分类,,,,已完成
2022-03-18 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-18 20:15,90,未分类,打游戏,未分类,,,,已完成
2022-03-18 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 22:00,60,未分类,打游戏,未分类,,,,已完成
2022-03-18 23:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-18 23:15,60,未分类,隐私相关1,未分类,,,,已完成
2022-03-19 00:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-19 01:00,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-19 01:15,435,未分类,休息,未分类,,,,已完成
2022-03-19 08:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-19 09:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 09:15,60,未分类,家务事,未分类,,,,已完成
2022-03-19 10:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 10:30,30,未分类,代码,未分类,,,,已完成
2022-03-19 11:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-19 11:45,30,未分类,家务事,未分类,,,,已完成
2022-03-19 12:15,60,未分类,碎片时间,未分类,,,,已完成
2022-03-19 13:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-19 14:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-19 14:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-19 14:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 15:00,90,未分类,打游戏,未分类,,,,已完成
2022-03-19 16:30,15,未分类,家务事,未分类,,,,已完成
2022-03-19 16:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 17:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-19 17:30,45,未分类,家务事,未分类,,,,已完成
2022-03-19 18:15,30,未分类,打游戏,未分类,,,,已完成
2022-03-19 18:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 19:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-19 19:30,30,未分类,家务事,未分类,,,,已完成
2022-03-19 20:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-19 20:15,75,未分类,碎片时间,未分类,,,,已完成
2022-03-19 21:30,75,未分类,打游戏,未分类,,,,已完成
2022-03-19 22:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-19 23:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-19 23:15,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-20 00:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-20 00:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-20 00:45,450,未分类,休息,未分类,,,,已完成
2022-03-20 08:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-20 09:00,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-20 09:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-20 09:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-20 10:00,45,未分类,代码,未分类,,,,已完成
2022-03-20 10:45,15,未分类,打游戏,未分类,,,,已完成
2022-03-20 11:00,45,未分类,家务事,未分类,,,,已完成
2022-03-20 11:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-20 12:00,30,未分类,家务事,未分类,,,,已完成
2022-03-20 12:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-20 12:45,45,未分类,代码,未分类,,,,已完成
2022-03-20 13:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-20 13:45,30,未分类,代码,未分类,,,,已完成
2022-03-20 14:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-20 14:30,45,未分类,代码,未分类,,,,已完成
2022-03-20 15:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-20 15:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-20 16:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-20 16:45,75,未分类,摸鱼,未分类,,,,已完成
2022-03-20 18:00,15,未分类,家务事,未分类,,,,已完成
2022-03-20 18:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-20 18:30,30,未分类,家务事,未分类,,,,已完成
2022-03-20 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-20 19:15,105,未分类,打游戏,未分类,,,,已完成
2022-03-20 21:00,75,未分类,碎片时间,未分类,,,,已完成
2022-03-20 22:15,15,未分类,打游戏,未分类,,,,已完成
2022-03-20 22:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-20 23:00,30,未分类,打游戏,未分类,,,,已完成
2022-03-20 23:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-21 00:30,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-21 01:15,435,未分类,休息,未分类,,,,已完成
2022-03-21 08:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-21 09:00,45,未分类,碎片时间,未分类,,,,已完成
2022-03-21 09:45,45,未分类,打游戏,未分类,,,,已完成
2022-03-21 10:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-21 11:00,30,未分类,家务事,未分类,,,,已完成
2022-03-21 11:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-21 12:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-21 12:15,180,未分类,碎片时间,未分类,,,,已完成
2022-03-21 15:15,15,未分类,打游戏,未分类,,,,已完成
2022-03-21 15:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-21 15:45,30,未分类,打游戏,未分类,,,,已完成
2022-03-21 16:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-21 16:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-21 16:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-21 17:15,30,未分类,家务事,未分类,,,,已完成
2022-03-21 17:45,75,未分类,摸鱼,未分类,,,,已完成
2022-03-21 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-21 19:15,15,未分类,家务事,未分类,,,,已完成
2022-03-21 19:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-21 19:45,30,未分类,打游戏,未分类,,,,已完成
2022-03-21 20:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-21 20:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-21 20:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-21 21:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-21 21:30,15,未分类,代码,未分类,,,,已完成
2022-03-21 21:45,15,未分类,构思,未分类,,,,已完成
2022-03-21 22:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-21 22:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-21 22:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-21 23:00,15,未分类,构思,未分类,,,,已完成
2022-03-21 23:15,15,未分类,代码,未分类,,,,已完成
2022-03-21 23:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-22 00:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-22 00:15,45,未分类,摸鱼,未分类,,,,已完成
2022-03-22 01:00,450,未分类,休息,未分类,,,,已完成
2022-03-22 08:30,60,未分类,摸鱼,未分类,,,,已完成
2022-03-22 09:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-22 09:45,15,未分类,休息,未分类,,,,已完成
2022-03-22 10:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-22 10:15,30,未分类,隐私相关1,未分类,,,,已完成
2022-03-22 10:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-22 11:00,15,未分类,代码,未分类,,,,已完成
2022-03-22 11:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-22 11:45,45,未分类,家务事,未分类,,,,已完成
2022-03-22 12:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-22 12:45,75,未分类,打游戏,未分类,,,,已完成
2022-03-22 14:00,30,未分类,代码,未分类,,,,已完成
2022-03-22 14:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-22 15:15,45,未分类,代码,未分类,,,,已完成
2022-03-22 16:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-22 16:15,45,未分类,碎片时间,未分类,,,,已完成
2022-03-22 17:00,60,未分类,摸鱼,未分类,,,,已完成
2022-03-22 18:00,15,未分类,休息,未分类,,,,已完成
2022-03-22 18:15,30,未分类,家务事,未分类,,,,已完成
2022-03-22 18:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-22 19:15,30,未分类,家务事,未分类,,,,已完成
2022-03-22 19:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-22 20:30,30,未分类,代码,未分类,,,,已完成
2022-03-22 21:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-22 21:15,15,未分类,代码,未分类,,,,已完成
2022-03-22 21:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-22 22:00,15,未分类,构思,未分类,,,,已完成
2022-03-22 22:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-22 22:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-22 22:45,60,未分类,摸鱼,未分类,,,,已完成
2022-03-22 23:45,75,未分类,代码,未分类,,,,已完成
2022-03-23 01:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-23 01:30,420,未分类,休息,未分类,,,,已完成
2022-03-23 08:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-23 09:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-23 09:45,75,未分类,开会,未分类,,,,已完成
2022-03-23 11:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 11:15,15,未分类,家务事,未分类,,,,已完成
2022-03-23 11:30,75,未分类,摸鱼,未分类,,,,已完成
2022-03-23 12:45,60,未分类,打游戏,未分类,,,,已完成
2022-03-23 13:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 14:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-23 14:30,15,未分类,代码,未分类,,,,已完成
2022-03-23 14:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-23 15:15,15,未分类,代码,未分类,,,,已完成
2022-03-23 15:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-23 15:45,30,未分类,构思,未分类,,,,已完成
2022-03-23 16:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-23 16:30,15,未分类,构思,未分类,,,,已完成
2022-03-23 16:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-23 17:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 17:15,30,未分类,家务事,未分类,,,,已完成
2022-03-23 17:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-23 18:30,30,未分类,家务事,未分类,,,,已完成
2022-03-23 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 19:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-23 19:45,75,未分类,打游戏,未分类,,,,已完成
2022-03-23 21:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 21:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-23 21:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 22:00,30,未分类,构思,未分类,,,,已完成
2022-03-23 22:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 22:45,45,未分类,摸鱼,未分类,,,,已完成
2022-03-23 23:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-23 23:45,75,未分类,摸鱼,未分类,,,,已完成
2022-03-24 01:00,420,未分类,休息,未分类,,,,已完成
2022-03-24 08:00,60,未分类,摸鱼,未分类,,,,已完成
2022-03-24 09:00,30,未分类,业余爱好,未分类,,,,已完成
2022-03-24 09:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 09:45,60,未分类,碎片时间,未分类,,,,已完成
2022-03-24 10:45,45,未分类,家务事,未分类,,,,已完成
2022-03-24 11:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 11:45,30,未分类,打游戏,未分类,,,,已完成
2022-03-24 12:15,30,未分类,碎片时间,未分类,,,,已完成
2022-03-24 12:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 13:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-24 13:15,75,未分类,摸鱼,未分类,,,,已完成
2022-03-24 14:30,30,未分类,业余爱好,未分类,,,,已完成
2022-03-24 15:00,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 15:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-24 15:30,45,未分类,业余爱好,未分类,,,,已完成
2022-03-24 16:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 16:30,30,未分类,业余爱好,未分类,,,,已完成
2022-03-24 17:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-24 17:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-24 17:45,15,未分类,业余爱好,未分类,,,,已完成
2022-03-24 18:00,15,未分类,家务事,未分类,,,,已完成
2022-03-24 18:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-24 18:30,30,未分类,家务事,未分类,,,,已完成
2022-03-24 19:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-24 19:15,15,未分类,家务事,未分类,,,,已完成
2022-03-24 19:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 19:45,30,未分类,碎片时间,未分类,,,,已完成
2022-03-24 20:15,30,未分类,业余爱好,未分类,,,,已完成
2022-03-24 20:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 21:00,30,未分类,业余爱好,未分类,,,,已完成
2022-03-24 21:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-24 21:45,45,未分类,业余爱好,未分类,,,,已完成
2022-03-24 22:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-24 23:15,75,未分类,摸鱼,未分类,,,,已完成
2022-03-25 00:30,465,未分类,休息,未分类,,,,已完成
2022-03-25 08:15,90,未分类,碎片时间,未分类,,,,已完成
2022-03-25 09:45,15,未分类,摸鱼,未分类,,,,已完成
2022-03-25 10:00,90,未分类,碎片时间,未分类,,,,已完成
2022-03-25 11:30,15,未分类,打游戏,未分类,,,,已完成
2022-03-25 11:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-25 12:00,30,未分类,摸鱼,未分类,,,,已完成
2022-03-25 12:30,15,未分类,隐私相关1,未分类,,,,已完成
2022-03-25 12:45,60,未分类,休息,未分类,,,,已完成
2022-03-25 13:45,30,未分类,摸鱼,未分类,,,,已完成
2022-03-25 14:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-25 14:30,30,未分类,摸鱼,未分类,,,,已完成
2022-03-25 15:00,45,未分类,打游戏,未分类,,,,已完成
2022-03-25 15:45,15,未分类,家务事,未分类,,,,已完成
2022-03-25 16:00,15,未分类,碎片时间,未分类,,,,已完成
2022-03-25 16:15,135,未分类,家务事,未分类,,,,已完成
2022-03-25 18:30,45,未分类,碎片时间,未分类,,,,已完成
2022-03-25 19:15,15,未分类,摸鱼,未分类,,,,已完成
2022-03-25 19:30,30,未分类,碎片时间,未分类,,,,已完成
2022-03-25 20:00,30,未分类,业余爱好,未分类,,,,已完成
2022-03-25 20:30,45,未分类,摸鱼,未分类,,,,已完成
2022-03-25 21:15,150,未分类,碎片时间,未分类,,,,已完成
2022-03-25 23:45,30,未分类,打游戏,未分类,,,,已完成
2022-03-26 00:15,15,未分类,碎片时间,未分类,,,,已完成
2022-03-26 00:30,45,未分类,隐私相关1,未分类,,,,已完成
2022-03-26 01:15,30,未分类,摸鱼,未分类,,,,已完成
2022-03-26 01:45,240,未分类,休息,未分类,,,,已完成
2022-03-26 05:45,15,未分类,碎片时间,未分类,,,,已完成
2022-03-26 06:00,135,未分类,休息,未分类,,,,已完成
2022-03-26 08:15,105,未分类,摸鱼,未分类,,,,已完成
2022-03-26 10:00,30,未分类,碎片时间,未分类,,,,已完成
2022-03-26 10:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-26 10:45,15,未分类,打游戏,未分类,,,,已完成
2022-03-26 11:00,30,未分类,业余爱好,未分类,,,,已完成
2022-03-26 11:30,15,未分类,碎片时间,未分类,,,,已完成
2022-03-26 11:45,45,未分类,家务事,未分类,,,,已完成
2022-03-26 12:30,15,未分类,摸鱼,未分类,,,,已完成
2022-03-26 12:45,30,未分类,打游戏,未分类,,,,已完成
